'motivo','arruamento','troco','entidade','tipo_de_condicionamento','data_de_início','hora_de_inicio','data_de_fim','hora_de_fim','observacoes','registo_data','coordenada_x','coordenada_y','registo_hora','ultima_modificacao_data','ultima_modificacao_hora','objectid','esriGeometryPoint'
'Avaria de CCTV','','PMV06 - Rua dos Luzares / Alameda das Antas','','',1682636400000,55034000,'','',' ',1682636400000,-8.58837,41.1635,55034000,1682636400000,55034000,105436,'-38205.84420000021,166138.1377000008'
'Avaria de telecomunicações','Campo de Vinte e Quatro de Agosto','','','Estreitamento',1682722800000,28800000,1682722800000,31500000,'',1682722800000,-8.598291,41.14839,28800000,1682722800000,28860000,106237,'-39047.52680000018,164463.9042000001'
'Outro motivo','Rua da Alegria','n.982','','Estreitamento',1682982000000,27000000,1682982000000,81900000,'colocação de degraus em CRL no passeio',1682982000000,-8.600597,41.16057,-1680000,1682982000000,-1620000,105451,'-39233.78100000037,165818.40039999931'
'Avaria de telecomunicações','Rua das Fontainhas','155/227','','Estreitamento',1682722800000,27000000,1682722800000,37800000,'',1682722800000,-8.602819,41.14451,26580000,1682722800000,26640000,105444,'-39429.97919999993,164035.96020000012'
'Outro motivo','Rua de Pedro Hispano','Nº 1168','','Ocupação do passeio',1682636400000,55200000,1682636400000,81900000,'Verificar Ramal aos 30',1682636400000,-8.629709,41.16554,56400000,1682636400000,57420000,105437,'-41674.11249999981,166384.02669999885'
'Outro motivo','Rua de Aires de Ornelas','161','','Ocupação do passeio',1682982000000,25200000,1682982000000,81900000,'Verificar ramal aos 30 cm .',1682982000000,-8.596513,41.15657,25140000,1682982000000,25620000,105456,'-38893.37150000031,165371.94390000033'
'Outro motivo','Rua do Funchal','com a rua Monte videu','','Estreitamento',1682982000000,24300000,1682982000000,81900000,'Reparação do coletor na faixa',1682982000000,-8.685673,41.16295,24600000,1682982000000,24840000,105455,'-46372.73089999985,166124.8889000004'
'Avaria de telecomunicações','Rua Formosa','313','','Ocupação do passeio',1682722800000,25200000,1682722800000,81900000,'',1682722800000,-8.607694,41.14869,25440000,1682722800000,25500000,105443,'-39836.72099999984,164502.10989999975'
'Anomalia de sinalização luminosa','','228 - Rua Ouro, junto à Casa do Rio','','',1650754800000,24395000,'','','   Bloqueado no vermelho  ',1650754800000,-8.64264,41.14817,24394000,1682982000000,-1320000,348,'-42770.666100000046,164460.94069999966'
'Outro motivo','Rua de João Pedro Ribeiro','n.931','','Estreitamento',1682982000000,27000000,1682982000000,81900000,'Reparação de ramal no passeio',1682982000000,-8.609273,41.16138,-1800000,1682982000000,-1740000,105450,'-39961.543999999696,165912.38429999936'
'Outro motivo','Rua do Alto de Vila','Nº 117','','Ocupação do passeio',1682636400000,55200000,1682636400000,81900000,'Abrir sonda',1682636400000,-8.673211,41.15114,56460000,1682636400000,57360000,105438,'-45335.00409999965,164806.84380000058'
'Acidente rodoviário','Campo de Vinte e Quatro de Agosto','Nº 172','INEM / PSP','Estreitamento',1682636400000,54660000,1682636400000,58200000,'embate entre ligeiro e motociclo',1682636400000,-8.598358,41.15008,55020000,1682636400000,55080000,105836,'-39052.11870000052,164652.0847999993'
'Outro motivo','Rua da Boa Nova','n.126','','Estreitamento',1682982000000,27000000,1682982000000,81900000,'Abertura de onda no passeio',1682982000000,-8.624319,41.14964,-1380000,1682982000000,-1320000,105453,'-41231.70139999964,164615.02899999975'
'Outro motivo','Rua de Ciríaco Cardoso','n.431','','Estreitamento',1682982000000,27000000,1682982000000,81900000,'reparação de aqueduto na faixa',1682982000000,-8.650725,41.1605,-1560000,1682982000000,-1440000,105452,'-43441.261300000304,165834.49090000062'
'Avaria de telecomunicações','Rua do Duque da Terceira','','','Estreitamento',1682722800000,38700000,1682722800000,41400000,'',1682722800000,-8.598235,41.14591,38580000,1682722800000,38640000,105446,'-39044.31290000021,164189.23399999936'
